问题,选项A,选项B,选项C,选项D,答案,题号
我国专门针对无线电管理的行政法规及其制定机构是：,《中华人民共和国无线电管理条例》,《中华人民共和国无线电管理办法》,国务院和中央军委,工业和信息化部,AC,MC2 -0001
我国专门针对业余无线电台的管理文件及其制定机构分别是：,《业余无线电台管理办法》,《业余无线电台管理暂行规定》,工业和信息化部,国务院,AC,MC2 -0002
下列关于无线电的一般术语，说法正确的是：,无线电测定是指利用无线电波的传播特性测定目标的位置、速度和 /或其他特性，或获得 与这些参数有关的信息,无线电导航是指用于导航（包括障碍物告警）的无线电测定,无线电定位是指用于除无线电导航以外的无线电测定,无线电测向是指利用接收无线电波来确定一个电台或目标的方向的无线电测定,ABCD,MC4 -0012
关于业余业务、卫星业余业务，下列说法正确的是：,业余业务是指供业余无线电爱好者进行自我训练、相互通信和技术研究的无线电通信业 务,卫星业余业务是指利用地球卫星上的空间电台开展与业余业务相同目的的无线电通信业 务,业余无线电爱好者可以在业余业务、卫星业余业务以及其他的无线电业务相互通信,业余无线电台可以在业余业务、卫星业余业务以及其他的无线电业务进行通信,AB,MC1 -0014
关于业余无线电爱好者的定义，下列说法正确的是：,业余无线电爱好者系指经正式批准的、对无线电技术有兴趣的人,其兴趣纯系个人爱好而不涉及谋取利润,其兴趣纯系个人爱好可涉及谋取利润,只有成年人能成为业余无线电爱好者,AB,MC2 -0015
关于发射类别，下列说法正确的是：,是指用标准符号标示的某发射的一组特性,标示的特性例如主载波调制方式，调制信号，被发送信息的类型以及其他适用的信号特 性,一个业余无线电台只能包含一个收信机,一个业余无线电台只能包含一个发信机和一个收信机,AB,MC1 -0016
关于干扰的定义，下列说法正确的是：,由于一种或多种发射、辐射、感应或其组合所产生的无用能量对无线电通信系统的接收 产生的影响,表现为性能下降、误解或信息丢失,若不存在这种无用能量，则此后果可以避免,不会对无线电通信系统的接收产生的影响,ABC,MC3 -0018
关于有害干扰的定义，下列说法正确的是：,危害无线电导航或其他安全业务的正常运行的干扰,严重地损害、阻碍、或一再阻断按规定正常开展的无线电通信业务的干扰,产生有害干扰不会受到处罚,使用业余无线电台时，只要不对其他业余无线电台产生干扰即可,AB,MC2 -0019
关于次要业务台站，下列说法正确的是：,不得对业经指配或将来可能指配频率的主要业务电台产生有害干扰,不得对来自业经指配或将来可能指配频率的主要业务电台的有害干扰提出保护要求,可要求保护不受来自将来可能指配频率的同一业务或其他次要业务电台的有害干扰,使用业余无线电台时，只要不对其他业余无线电台产生干扰即可,ABC,MC3 -0020
个人设置、使用业余无线电台应当向无线电管理机构提交的材料为：,一份申请表,身份证明复印件；申请人为未成年人的，还应当提交其监护人身份证明复印件，以及申 请人与监护人关系的说明材料,无线电发射设备相关说明材料,本人写的申请书，操作证书的原件、复印件,ABC,MC3 -0027
单位设置、使用业余无线电台应当向无线电管理机构提交的材料为：,一份申请表,无线电发射设备相关说明材料,单位营业执照等复印件，以及业余无线电台技术负责人为本单位工作人员的说明材料,业余无线电台技术负责人写的申请书，操作证书的原件、复印件,ABC,MC3 -0028
设置、使用业余无线电台，下列哪些条件符合规定：,使用的无线电发射设备依法取得型号核准,型号核准证载明的频率范围包含业余业务频段,使用的自制、改装、拼装等未取得型号核准的无线电发射设备符合国家标准和国家无线 电管理规定,使用的自制、改装、拼装等未取得型号核准的无线电发射设备的无线电发射频率范围仅 限于业余业务频段,ABCD,MC4 -0029
设置、使用 15瓦以上短波业余无线电台以及涉及国家主权、安全的其他重要业余无线电 台的，下列说法正确的是：,由国家无线电管理机构作出许可决定,可以委托电台所在地或者申请人住所地的省、自治区、直辖市无线电管理机构对业余无 线电台的使用方式、技术条件、安装环境等进行现场核查,由省、自治区、直辖市无线电管理机构作出许可决定,持有 A类业余无线电台操作技术能力验证证书即可申请,AB,MC2 -0031
业余无线电台执照载明了哪些事项：,电台设置、使用人，操作技术能力类别、编号,电台呼号、台址 /设置区域、使用频率、发射功率,执照编号、颁发日期、有效期、发证机关，以及特别规定事项,业余中继台、业余信标台执照还应当载明工作模式等事项,ABCD,MC4 -0032
关于业余无线电台执照，下列说法正确的是：,业余无线电台执照可以采用纸质或者电子形式,纸质或者电子业余无线电台执照具有同等法律效力,执照样式由国家无线电管理机构统一规定,业余无线电台执照终身有效,ABC,MC3 -0034
关于新版《业余无线电台管理办法》 ，下列说法正确的是：,新版《办法》施行前依法取得业余无线电台执照的，在执照有效期内可以按照执照载明 的参数使用业余无线电台,2012年11月5日公布的《业余无线电台管理办法》 （工业和信息化部令第 22号）同时废 止,新版《办法》自 2024年3月1日起施行,新版《办法》施行前依法取得业余无线电台执照的，在执照有效期内需按照新版《办法》 使用业余无线电台,AB,MC2 -0035
设置、使用业余无线电台，设置业余无线电台应当具备的条件有：,熟悉无线电管理规定,具有相应的操作技术能力，通过相应的操作技术能力验证,使用的无线电发射设备依法取得型号核准，的自制、改装、拼装设备符合国家标准和国 家无线电管理规定,加入指定协会、具备当地无线电管理机构规定的操作技术能力,ABC,MC3 -0040
关于终止使用业余无线电台的，下列说法正确的是：,应当及时向作出许可决定的无线电管理机构办理业余无线电台执照注销手续,交回执照并自执照注销之日起 60个工作日内拆除业余无线电台及天线等附属设备并妥善 处理,交回执照并自执照注销之日起 6个月内拆除业余无线电台及天线等附属设备并妥善处理,只需交回执照,AB,MC2 -0044
