问题,选项A,选项B,选项C,选项D,答案,题号
制约现代无线电接收机灵敏度的主要因素是：,机内噪声,放大电路的增益,放大电路的稳定性,电源噪声,A,MC1 -0877
短波业余电台在 18MHz频段进行 USB通话时可以实际占用的频率为：,18.1105 -18.168MHz,18.110 -18.170MHz,18.068 -18.186MHz,18.1005 -18.180MHz,A,MC1 -0200
关于地面无线电通信（ terrestrial radio communication ）的正确说法是：,航空通信属于地面无线电通信,水上通信不属于地面无线电通信,业余电台之间所进行的任何无线电通信都属于地面无线电通信,依靠电离层反射的天波所进行的通信不属于地面无线电通信,A,MC1 -0025
每年的 12月下旬，我们常会在 CW联络中听到缩语“ HNY” ，意思是：,新年快乐,幸福,希望,圣诞快乐,A,MC1 -0396
在CW通联中，我们有时会抄到缩语“ CK” ，意思是：,检查,钟表,报到,祝贺,A,MC1 -0381
通联时，小强告诉小明，他正在 7074千赫守听 FT8联络，他可以发送：,QSX FT8 ON 7074 KHZ,QSY FT8 ON 7074 KHZ,QSL FT8 ON 7074 KHZ,QRU FT8 ON 7074 KHZ,A,MC1 -0370
我国《无线电频率划分规定》划分给业余业务使用的最低频段为 135.7 -137.8kHz，属于无 线电频谱的下列频段（波段） ：,LF,VLF,ULF,SLF,A,MC1 -0216
在我国和多数其他国家的频率分配中， 业余业务在 430-440MHz频段中作为次要业务与其 他业务共用。这个频段中我国分配的主要业务是：,无线电定位和航空无线电导航,固定业务,移动业务,水上移动和航空移动,A,MC1 -0195
物理量“电阻”描述的是：,电路从一点到另一点阻碍电流通过的能力大小,电子克服电路阻力所需的能量大小,电路阻碍电流通过所消耗的能量大小,电路阻断电流所需的过渡时间,A,MC1 -0936
接收机解调器的作用是：,从接收到的已调射频信号中分离出原始调制信号,对接收到的射频信号进行宽带线性放大,对接收到的射频信号进行与必要带宽相匹配的选频放大,从接收到的已调制射频信号中提取出载波分量,A,MC1 -0822
俗称的 160米业余波段的频率范围以及业余业务和卫星业余业务的使用状态分别为：,1800 -2000kHz，主要业务,1800 -1900kHz，次要业务,1900 -2000kHz，主要业务,1700 -1900kHz，专用业务,A,MC1 -0187
业余无线电发射机的效率是指：,输出到天线系统的信号功率与发射机所消耗的电源功率之比,通信对象的接收天线得到的信号功率与发射机所消耗的电源功率之比,通信对象的接收天线得到的信号功率与发射机输出到天线系统的信号功率之比,输出到天线系统的有用信号功率与到达天线的包含杂散等无用信号的总功率之比,A,MC1 -0846
全功能小型收发信机的面板上常有缩写为“ NB”和“ SQL”的功能，它们有什么不同？,NB为“抑噪” ，切除高于平均信号的大幅度突发脉冲噪声； SQL为“静噪” ，信噪比达不 到一定水平时自动关闭音频输出,NB和SQL都是指“抑噪” ，收不到有用信号时自动关断背景噪声,NB和SQL都是指“静噪” ，切除高于平均信号的大幅度突发脉冲噪声,NB和SQL都是指“静噪” ，收不到带有预期的特定控制信号时自动关断音频输出,A,MC1 -0599
业余电台在通信中为其他人或者单位、组织转达信息。对这种做法的评论应该是：,违法行为；违反“业余无线电台只能用于相互通信、技术研究和自我训练”的规定,只要所转达的信息在内容上不违反《业余电台管理法规》的禁止规定就是合法行为,只要转达信息是无偿的，就是合法行为,只要所转达的信息是有利于社会的公益信息，就是合法行为,A,MC1 -0115
在业余无线电台中转发广播电台、互联网聊天、电话通话、其他电台的联络信号，这类 行为的性质是：,错误行为；违反“业余无线电台只能用于相互通信、技术研究和自我训练”规定，因为 通信中产生信息的一方不是业余无线电台,正确行为；既然可以联络，不必要限制向话筒送什么内容,如果转发的目的是进行技术调试、用转发信号作为测试信号的话，就是正常行为,不算错误但也不值得提倡,A,MC1 -0114
俗称的 15米业余波段的频率范围以及业余业务和卫星业余业务的使用状态分别为：,21 -21.45MHz ，专用,21 -21.45MHz ，主要业务,21 -21.35MHz ，专用,21 -21.45MHz ，次要业务,A,MC1 -0190
通联时，如需了解对方电台可否帮助转信至“ xxx电台” ，可使用短句：,QSP ×××？,QRD ×××？,QSX ×××？,QRV ×××？,A,MC1 -0367
如在 CW或其他方式的文字通联中须询问对方的 QSL卡片邮寄地址，我们可以发送：,“UR ADR？”或“ UR ADDR？”,MY ADDR ？,PSE ADR MY QSL INFO,PSE QSL TO UR ADDR,A,MC1 -0375
有两款 VHF垂直全向天线作发射之用。甲天线增益为 2.9dBd，而乙天线的是 5.85dBi。它 们在远处某接收天线中产生的信号功率有什么不同？,来自乙天线的信号比甲天线的强 0.8dB,来自乙天线的信号比甲天线的强 2.95dB,来自甲天线的信号比乙天线的强 2.95dB,来自乙天线的信号比甲天线的强 7.1dB,A,MC1 -0669
如果某话音发射机在不同调制方式下的峰值输出功率相同，则在无语音输入时，实际射 频输出功率由大到小可以排序为：,FM，AM，SSB,AM，SSB，FM,SSB，FM，AM,SSB，AM，FM,A,MC1 -0852
无线电波是指：,"频率为 3,000GHz 以下的在空间传播的电磁波","频率为 3,000GHz 以下的所有电磁波",频率为 30Hz至30GHz的在空间传播的电磁波,"频率为 3,000Hz至3,000MHz 的电磁波",A,MC1 -0026
用设置在 WFM方式的对讲机接收 NFM信号，效果为：,可以正常听到信号，只是声音比较小,可以听到信号。如果调制信号幅度较大或音调较高，会听到明显的非线性失真,听不到信号。但是一旦接收到了信号，调频方式所特有的强烈噪声仍然会消失,可以正常听到信号。但是声音的高音频部分衰减较大，缺乏高音,A,MC1 -0830
阅读我国早期业余无线电文献，我们可能发现一种用 Q简语和 5个强度等级来表示的信 号报告。该 Q简语是：,QSA,QSB,QSD,QSK,A,MC1 -0357
对于需要接收微弱信号的业余通信， 例如 EME通联， 接收机的噪声指数 NF（以对数表示） 是一项重要技术指标。它是指：,接收机输入端信噪比 Si/Ni对输出端信噪比 So/No的比值的对数形式,接收机输入端无信号时，输出端的噪声功率电平的对数形式,接收机输出端噪声功率电平与输入端噪声功率电平的比值的对数形式,接收机输入端噪声功率电平与输出端噪声功率电平的比值的对数形式,A,MC1 -0882
